Rk,G,Playoffs,Series,Tm,Opp,G#,Score,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-',Year
226,9,2018-05-03,ECS,CLE,TOR,2,W (+18),1,40:30:00,19,28,0.679,1,3,0.333,4,8,0.5,1,7,8,14,1,0,1,1,43,41.6,20,2018
227,10,2018-05-05,ECS,CLE,TOR,3,W (+2),1,41:16:00,14,26,0.538,1,4,0.25,9,11,0.818,1,5,6,7,3,1,4,1,38,31,2,2018
228,11,2018-05-07,ECS,CLE,TOR,4,W (+35),1,38:24:00,12,19,0.632,0,3,0,5,8,0.625,0,8,8,11,2,1,2,2,29,29.3,28,2018
229,12,2018-05-13,ECF,CLE,BOS,1,L (-25),1,36:07:00,5,16,0.313,0,5,0,5,6,0.833,0,7,7,9,0,2,7,1,15,7.8,-32,2018
230,13,2018-05-15,ECF,CLE,BOS,2,L (-13),1,38:46:00,16,29,0.552,5,11,0.455,5,10,0.5,1,9,10,12,0,1,6,3,42,31.4,-9,2018
231,14,2018-05-19,ECF,CLE,BOS,3,W (+30),1,37:30:00,8,12,0.667,3,3,1,8,10,0.8,1,4,5,12,2,2,3,3,27,30.5,31,2018
232,15,2018-05-21,ECF,CLE,BOS,4,W (+9),1,41:53:00,17,28,0.607,1,4,0.25,9,13,0.692,1,4,5,3,2,0,7,3,44,27.4,9,2018
233,16,2018-05-23,ECF,CLE,BOS,5,L (-13),1,39:16:00,11,22,0.5,1,6,0.167,3,4,0.75,0,10,10,5,1,0,6,2,26,15.3,-11,2018
234,17,2018-05-25,ECF,CLE,BOS,6,W (+10),1,46:06:00,17,33,0.515,5,7,0.714,7,11,0.636,3,8,11,9,3,1,3,2,46,38.8,15,2018
235,18,2018-05-27,ECF,CLE,BOS,7,W (+8),1,48:00:00,12,24,0.5,3,8,0.375,8,11,0.727,0,15,15,9,0,2,8,4,35,24.4,8,2018
236,19,2018-05-31,FIN,CLE,GSW,1,L (-10),1,47:32:00,19,32,0.594,3,7,0.429,10,11,0.909,4,4,8,8,1,1,5,2,51,41.3,-13,2018
237,20,2018-06-03,FIN,CLE,GSW,2,L (-19),1,43:51:00,10,20,0.5,2,4,0.5,7,9,0.778,1,8,9,13,2,0,5,2,29,26.6,-18,2018
238,21,2018-06-06,FIN,CLE,GSW,3,L (-8),1,46:52:00,13,28,0.464,1,6,0.167,6,7,0.857,3,7,10,11,2,2,4,2,33,28.7,-8,2018
239,22,2018-06-08,FIN,CLE,GSW,4,L (-23),1,40:34:00,7,13,0.538,0,1,0,9,11,0.818,1,6,7,8,0,1,6,5,23,16.7,-21,2018
240,1,2020-08-18,WC1,LAL,POR,1,L (-7),1,41:03:00,9,20,0.45,1,5,0.2,4,7,0.571,2,15,17,16,1,0,4,1,23,25.1,-3,2020
241,2,2020-08-20,WC1,LAL,POR,2,W (+23),1,26:41:00,4,11,0.364,0,3,0,2,2,1,0,6,6,7,2,0,6,1,10,6.2,23,2020
242,3,2020-08-22,WC1,LAL,POR,3,W (+8),1,34:29:00,11,18,0.611,4,8,0.5,12,17,0.706,1,11,12,8,2,0,8,3,38,30.2,2,2020
243,4,2020-08-24,WC1,LAL,POR,4,W (+20),1,28:18:00,10,12,0.833,4,5,0.8,6,8,0.75,1,5,6,10,0,1,2,2,30,31.9,17,2020
244,5,2020-08-29,WC1,LAL,POR,5,W (+9),1,33:52:00,14,19,0.737,4,7,0.571,4,4,1,0,10,10,10,1,1,5,1,36,34.6,20,2020
245,6,2020-09-04,WCS,LAL,HOU,1,L (-15),1,36:34:00,7,15,0.467,2,7,0.286,4,5,0.8,1,7,8,7,0,2,4,2,20,16.2,-15,2020
246,7,2020-09-06,WCS,LAL,HOU,2,W (+8),1,39:16:00,10,17,0.588,1,5,0.2,7,10,0.7,0,11,11,9,4,2,7,3,28,25.7,15,2020
247,8,2020-09-08,WCS,LAL,HOU,3,W (+10),1,37:31:00,13,23,0.565,4,9,0.444,6,10,0.6,0,7,7,5,1,4,2,1,36,30.5,8,2020
248,9,2020-09-10,WCS,LAL,HOU,4,W (+10),1,33:45:00,7,17,0.412,0,5,0,2,3,0.667,1,14,15,9,3,0,4,2,16,15.9,15,2020
249,10,2020-09-12,WCS,LAL,HOU,5,W (+23),1,30:48:00,9,18,0.5,3,8,0.375,8,10,0.8,2,9,11,7,2,1,4,2,29,26.1,19,2020
